"event_id","disease","serotype","lat","lon","locality","country","region","location","observation_date","report_date","display_date","species","diagnosis_source","humans_affected","humans_deaths"
294219,"Influenza - Avian","H5N8 HPAI",47.836121,7.972579,"Todtnau","Germany","Europe","Todtnau, Germany, Europe","2021-03-22","2021-04-12","2021-03-22","Domestic,Unspecified bird","OIE",,
294218,"Influenza - Avian","H5N8 HPAI",48.131297,8.155433,"Schonach im Schwarzwald","Germany","Europe","Schonach im Schwarzwald, Germany, Europe","2021-03-23","2021-04-12","2021-03-23","Domestic,Unspecified bird","OIE",,
294217,"Influenza - Avian","H5N8 HPAI",48.020078,7.800859,"freiburg im Breisgau","Germany","Europe","freiburg im Breisgau, Germany, Europe","2021-03-23","2021-04-12","2021-03-23","Domestic,Unspecified bird","OIE",,
294216,"Influenza - Avian","H5N8 HPAI",48.020269,7.7993,"Freiburg im Breisgau","Germany","Europe","Freiburg im Breisgau, Germany, Europe","2021-03-23","2021-04-12","2021-03-23","Domestic,Unspecified bird","OIE",,
294215,"Influenza - Avian","H5N8 HPAI",47.738592,10.033864,"Isny im Allgäu","Germany","Europe","Isny im Allgäu, Germany, Europe","2021-03-26","2021-04-12","2021-03-26","Domestic,Unspecified bird","OIE",,
294214,"Influenza - Avian","H5N8 HPAI",47.743081,10.011322,"Isny im Allgäu","Germany","Europe","Isny im Allgäu, Germany, Europe","2021-03-26","2021-04-12","2021-03-26","Domestic,Unspecified bird","OIE",,
294213,"Influenza - Avian","H5N8 HPAI",47.742457,10.010063,"Isny im Allgäu","Germany","Europe","Isny im Allgäu, Germany, Europe","2021-03-26","2021-04-12","2021-03-26","Domestic,Unspecified bird","OIE",,
294212,"Influenza - Avian","H5N8 HPAI",47.659949,8.026106,"Görwihl","Germany","Europe","Görwihl, Germany, Europe","2021-03-22","2021-04-12","2021-03-22","Domestic,Unspecified bird","OIE",,
294211,"Influenza - Avian","H5N8 HPAI",47.754827,8.172144,"Häusern","Germany","Europe","Häusern, Germany, Europe","2021-03-22","2021-04-12","2021-03-22","Domestic,Unspecified bird","OIE",,
294210,"Influenza - Avian","H5N8 HPAI",48.03873,7.63247,"Ihringen","Germany","Europe","Ihringen, Germany, Europe","2021-03-29","2021-04-12","2021-03-29","Domestic,Unspecified bird","OIE",,
294209,"Influenza - Avian","H5N8 HPAI",47.656558,8.148349,"Waldshut-Tiengen","Germany","Europe","Waldshut-Tiengen, Germany, Europe","2021-03-25","2021-04-12","2021-03-25","Domestic,Unspecified bird","OIE",,
294208,"Influenza - Avian","H5N8 HPAI",48.035347,8.206227,"Furtwangen im Schwarzwald","Germany","Europe","Furtwangen im Schwarzwald, Germany, Europe","2021-03-23","2021-04-12","2021-03-23","Domestic,Unspecified bird","OIE",,
294207,"Influenza - Avian","H5N8 HPAI",48.060087,7.604496,"Vogtsburg im Kaiserstuhl","Germany","Europe","Vogtsburg im Kaiserstuhl, Germany, Europe","2021-03-30","2021-04-12","2021-03-30","Domestic,Unspecified bird","OIE",,
294206,"Influenza - Avian","H5N8 HPAI",47.89838,8.10438,"Hinterzarten","Germany","Europe","Hinterzarten, Germany, Europe","2021-03-26","2021-04-12","2021-03-26","Domestic,Unspecified bird","OIE",,
294205,"Influenza - Avian","H5N8 HPAI",47.91447,8.16546,"titisee-Neustadt","Germany","Europe","titisee-Neustadt, Germany, Europe","2021-03-26","2021-04-12","2021-03-26","Domestic,Unspecified bird","OIE",,
294204,"Influenza - Avian","H5N8 HPAI",47.939545,8.138575,"Breitnau","Germany","Europe","Breitnau, Germany, Europe","2021-03-30","2021-04-12","2021-03-30","Domestic,Unspecified bird","OIE",,
294203,"Influenza - Avian","H5N8 HPAI",48.025389,7.795279,"Freiburg im Breisgau","Germany","Europe","Freiburg im Breisgau, Germany, Europe","2021-03-26","2021-04-12","2021-03-26","Domestic,Unspecified bird","OIE",,
294013,"Influenza - Avian","H5N8 HPAI",53.5,10.07,"Hamburg","Germany","Europe","Hamburg, Germany, Europe","2021-02-19","2021-04-26","2021-02-19","Wild,Crow / Wild,Strigidae (unidentified):Strigidae (incognita)(Strigidae) / Wild,Swan / Wild,Laridae (unidentified):Laridae (incognita)(Laridae) / Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae) / Wild,Accipitridae (Accipitridae)","OIE",,
293218,"Influenza - Avian","H5N8 HPAI",54.30053,13.074642,"Stralsund","Germany","Europe","Stralsund, Germany, Europe","2021-03-10","2021-04-12","2021-03-10","Domestic,Unspecified bird","OIE",,
293217,"Influenza - Avian","H5N8 HPAI",54.174367,12.65655,"Semlow","Germany","Europe","Semlow, Germany, Europe","2021-03-11","2021-04-12","2021-03-11","Domestic,Unspecified bird","OIE",,
293216,"Influenza - Avian","H5N8 HPAI",53.90808,11.834301,"Jürgenshagen","Germany","Europe","Jürgenshagen, Germany, Europe","2021-03-26","2021-04-12","2021-03-26","Domestic,Unspecified bird","OIE",,
293215,"Influenza - Avian","H5N8 HPAI",54.071304,12.202549,"roggentin","Germany","Europe","roggentin, Germany, Europe","2021-02-22","2021-04-12","2021-02-22","Domestic,Unspecified bird","OIE",,
293214,"Influenza - Avian","H5N8 HPAI",54.134509,13.210502,"Sundhagen","Germany","Europe","Sundhagen, Germany, Europe","2021-02-19","2021-04-12","2021-02-19","Domestic,Unspecified bird","OIE",,
293213,"Influenza - Avian","H5N8 HPAI",53.926379,13.638153,"Klein Bünzow","Germany","Europe","Klein Bünzow, Germany, Europe","2021-02-26","2021-04-12","2021-02-26","Domestic,Unspecified bird","OIE",,
293212,"Influenza - Avian","H5N8 HPAI",53.409532,13.262708,"Blankensee","Germany","Europe","Blankensee, Germany, Europe","2021-03-01","2021-04-12","2021-03-01","Domestic,Unspecified bird","OIE",,
293211,"Influenza - Avian","H5N8 HPAI",54.396363,13.451793,"Bergen auf RÜgen","Germany","Europe","Bergen auf RÜgen, Germany, Europe","2021-03-06","2021-04-12","2021-03-06","Domestic,Unspecified bird","OIE",,
293210,"Influenza - Avian","H5N8 HPAI",54.300562,13.074605,"Stralsund","Germany","Europe","Stralsund, Germany, Europe","2021-03-08","2021-04-12","2021-03-08","Domestic,Unspecified bird","OIE",,
293051,"Influenza - Avian","H5N8 HPAI",51.126655,13.047849,"Döbeln","Germany","Europe","Döbeln, Germany, Europe","2021-03-24","2021-04-09","2021-03-24","Domestic,Unspecified bird","OIE",,
293050,"Influenza - Avian","H5N8 HPAI",50.496732,12.090832,"Plauen","Germany","Europe","Plauen, Germany, Europe","2021-03-25","2021-04-09","2021-03-25","Domestic,Unspecified bird","OIE",,
293049,"Influenza - Avian","H5N8 HPAI",51.364843,13.789124,"Schönfeld","Germany","Europe","Schönfeld, Germany, Europe","2021-03-27","2021-04-09","2021-03-27","Domestic,Unspecified bird","OIE",,
293048,"Influenza - Avian","H5N8 HPAI",50.575929,12.180383,"Pöhl","Germany","Europe","Pöhl, Germany, Europe","2021-03-24","2021-04-09","2021-03-24","Domestic,Unspecified bird","OIE",,
293047,"Influenza - Avian","H5N8 HPAI",50.914741,12.810919,"Burgstädt","Germany","Europe","Burgstädt, Germany, Europe","2021-03-08","2021-04-09","2021-03-08","Domestic,Unspecified bird","OIE",,
293029,"Influenza - Avian","H5N8 HPAI",52.711742,11.398165,"Kalbe (Milde)","Germany","Europe","Kalbe (Milde), Germany, Europe","2021-03-16","2021-04-09","2021-03-16","Domestic,Unspecified bird","OIE",,
293028,"Influenza - Avian","H5N8 HPAI",51.6083,11.93347,"Petersberg","Germany","Europe","Petersberg, Germany, Europe","2021-03-21","2021-04-09","2021-03-21","Domestic,Unspecified bird","OIE",,
292917,"Influenza - Avian","H5N8 HPAI",53.220282,12.200828,"Pritzwalk","Germany","Europe","Pritzwalk, Germany, Europe","2021-03-01","2021-04-06","2021-03-01","Domestic,Turkey","OIE",,
292916,"Influenza - Avian","H5N8 HPAI",53.126475,13.871368,"flieth-Stegelitz","Germany","Europe","flieth-Stegelitz, Germany, Europe","2021-02-18","2021-04-06","2021-02-18","Domestic,Duck","OIE",,
292915,"Influenza - Avian","H5N8 HPAI",52.57771,14.571891,"Küstriner Vorland","Germany","Europe","Küstriner Vorland, Germany, Europe","2021-03-10","2021-04-06","2021-03-10","Domestic,Turkey","OIE",,
292914,"Influenza - Avian","H5N8 HPAI",52.576933,14.556271,"Küstriner Vorland","Germany","Europe","Küstriner Vorland, Germany, Europe","2021-03-04","2021-04-06","2021-03-04","Domestic,Turkey","OIE",,
289270,"Influenza - Avian","H5N8 HPAI",52.756111,9.393056,"Wilhelmshaven","Germany","Europe","Wilhelmshaven, Germany, Europe","2021-01-29","2021-02-17","2021-01-29","Wild,Laridae (unidentified):Laridae (incognita)(Laridae)","OIE",,
289269,"Influenza - Avian","H5N8 HPAI",53.833333,13.666667,"Vorpommern-Greifswald","Germany","Europe","Vorpommern-Greifswald, Germany, Europe","2021-02-11","2021-02-17","2021-02-11","Wild,Laridae (unidentified):Laridae (incognita)(Laridae)","OIE",,
289267,"Influenza - Avian","H5N8 HPAI",54.470038,9.51416,"Steinburg","Germany","Europe","Steinburg, Germany, Europe","2021-02-03","2021-02-17","2021-02-03","Wild,Anserinae (unidentified):Anserinae (incognita)(Anatidae)","OIE",,
289266,"Influenza - Avian","H5N8 HPAI",54.08,9.08,"Dithmarschen","Germany","Europe","Dithmarschen, Germany, Europe","2021-01-28","2021-02-17","2021-01-28","Wild,Anserinae (unidentified):Anserinae (incognita)(Anatidae)","OIE",,
289262,"Influenza - Avian","H5N8 HPAI",52.72,14.14,"Wriezen","Germany","Europe","Wriezen, Germany, Europe","2021-02-16","2021-02-18","2021-02-16","Domestic,Unspecified bird","OIE",,
